measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latvia,Both,All ages,Diabetes mellitus,Number,1980,59.30884572899412,63.61097043261625,54.855464301826935
Deaths,Belgium,Both,All ages,Cardiovascular diseases,Number,1980,48688.08301458636,50392.070725407575,45715.757107600824
Deaths,Turkey,Both,All ages,Motor vehicle road injuries,Number,1980,6525.480656481931,7938.0206495838975,5183.994633203032
Deaths,Netherlands,Both,All ages,Police conflict and executions,Number,1980,0.4724527536096835,0.7783092653559075,0.2924153805593596
Deaths,Latvia,Both,All ages,Cardiovascular diseases,Number,1980,18772.564371258486,19329.162875266906,17955.083168767796
Deaths,Luxembourg,Both,All ages,Alcohol use disorders,Number,1980,18.54839197746885,19.656647368518623,17.504962451272725
Deaths,Luxembourg,Both,All ages,Opioid use disorders,Number,1980,3.177707054276671,3.5537905832196834,2.7964902896050186
Deaths,Turkey,Both,All ages,Police conflict and executions,Number,1980,2.6922889640478953,4.284628993708004,0.8751224445663391
Deaths,Poland,Both,All ages,Alcohol use disorders,Number,1980,773.3407132222368,792.1855832038677,753.4061086265968
Deaths,Latvia,Both,All ages,Police conflict and executions,Number,1980,0.01105862312177977,0.022637188914158533,0.006712665999103722
Deaths,Denmark,Both,All ages,Liver cancer due to alcohol use,Number,1981,38.54059154284811,49.65980348104198,29.33064801663183
Deaths,Denmark,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,3551.0543955324297,3787.9649685029594,3296.340683461806
Deaths,Denmark,Both,All ages,Opioid use disorders,Number,1981,113.82012180753324,134.62990305148688,95.01775737881752
Deaths,Denmark,Both,All ages,Diabetes mellitus,Number,1981,749.2629056422738,793.3537043031325,700.1156711107922
Deaths,Belgium,Both,All ages,Road injuries,Number,1980,2623.3707783802874,2692.9115533168347,2553.09574857109
Deaths,Belgium,Both,All ages,Motor vehicle road injuries,Number,1980,1190.2486028932603,1230.5887476219275,1149.8450056392817
Deaths,Norway,Both,All ages,Road injuries,Number,1980,445.68370634866505,456.44879685743916,435.1915229543502
Deaths,Norway,Both,All ages,Motor vehicle road injuries,Number,1980,211.9904679818954,217.4183970139023,206.66499329093608
Deaths,New Zealand,Both,All ages,Road injuries,Number,1980,736.458385080762,754.3850206793408,717.367447403744
Deaths,New Zealand,Both,All ages,Motor vehicle road injuries,Number,1980,455.6404312655901,472.0987011234858,439.79006681229095
Deaths,Sweden,Both,All ages,Police conflict and executions,Number,1981,0.1203388908340767,0.16796183098577028,0.08837044382691618
Deaths,New Zealand,Both,All ages,Alcohol use disorders,Number,1980,44.38559068914481,47.398825190855256,41.81756680629071
Deaths,New Zealand,Both,All ages,Opioid use disorders,Number,1980,10.650332884548602,12.723027837567347,9.054539304012513
Deaths,New Zealand,Both,All ages,Self-harm,Number,1980,347.8908134120165,368.371006585376,327.9459926216245
Deaths,Hungary,Both,All ages,Cardiovascular diseases,Number,1981,76106.3284127392,78444.66603141792,73308.66900793917
Deaths,Luxembourg,Both,All ages,Motor vehicle road injuries,Number,1980,51.977420977959895,54.44039208671997,49.65727321252772
Deaths,Lithuania,Both,All ages,Alcohol use disorders,Number,1980,679.9999327455195,727.9859680670298,636.8631252865138
Deaths,Lithuania,Both,All ages,Opioid use disorders,Number,1980,53.05866971216524,61.89395285752193,44.793786565600975
Deaths,Lithuania,Both,All ages,Diabetes mellitus,Number,1980,91.90321387038219,98.05403804518944,86.37997501111803
Deaths,Estonia,Both,All ages,Liver cancer due to alcohol use,Number,1980,14.159502447157466,18.490024985424817,10.347029790843106
Deaths,Portugal,Both,All ages,Cardiovascular diseases,Number,1980,44790.99817091629,45937.41696921511,42727.71462590289
Deaths,Lithuania,Both,All ages,Self-harm,Number,1980,1254.345516589426,1332.1444353391498,1189.4739169906518
Deaths,Lithuania,Both,All ages,Police conflict and executions,Number,1980,0.0060988908872770965,0.013783590019950418,0.0032979841756099865
Deaths,Denmark,Both,All ages,Liver cancer due to alcohol use,Number,1980,38.76014686634612,49.97980468945683,29.354478891378108
Deaths,Denmark,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,3460.6745900109145,3693.3729762786206,3197.5389742167467
Deaths,Denmark,Both,All ages,Opioid use disorders,Number,1980,111.40260137664163,132.47632290454854,91.95630795678592
Deaths,Denmark,Both,All ages,Diabetes mellitus,Number,1980,667.3763669829845,706.3887388580259,624.3993480560523
Deaths,Latvia,Both,All ages,Road injuries,Number,1980,776.5058974409475,812.9766746083109,743.9883337689158
Deaths,Mexico,Both,All ages,Alcohol use disorders,Number,1980,4495.6549142978965,4625.41956253301,4359.784851132229
Deaths,Mexico,Both,All ages,Opioid use disorders,Number,1980,48.42033227274233,52.39019110731108,44.64222766066448
Deaths,Czechia,Both,All ages,Cardiovascular diseases,Number,1980,74915.37492480411,77438.89846675297,72171.11690772891
Deaths,Luxembourg,Both,All ages,Diabetes mellitus,Number,1980,81.89018776325481,86.87874532004935,76.78477394828305
Deaths,Luxembourg,Both,All ages,Self-harm,Number,1980,72.0119457989772,75.81276076928712,68.53728975509895
Deaths,Czechia,Both,All ages,Alcohol use disorders,Number,1980,273.2250242633168,301.0860757619462,247.77985583574232
Deaths,Czechia,Both,All ages,Opioid use disorders,Number,1980,38.10729558942718,46.54328945623772,30.91612054028645
Deaths,Czechia,Both,All ages,Diabetes mellitus,Number,1980,2288.972868044435,2557.942280366657,2039.8021301720612
Deaths,Czechia,Both,All ages,Self-harm,Number,1980,2381.484846241522,2567.1536536811395,2211.8831194465456
Deaths,Norway,Both,All ages,Self-harm,Number,1980,591.7377389230512,616.5381845437718,567.1646336150047
Deaths,Spain,Both,All ages,Liver cancer due to alcohol use,Number,1980,1158.5488505651094,1485.4953747796676,865.7950179825422
Deaths,Spain,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,11198.921039770687,11957.40160981593,10447.150640155824
Deaths,Spain,Both,All ages,Opioid use disorders,Number,1980,75.85614002606223,85.1092642029289,67.52114463582586
Deaths,Spain,Both,All ages,Diabetes mellitus,Number,1980,7753.77450719841,8230.883144859496,7180.630008361541
Deaths,Denmark,Both,All ages,Police conflict and executions,Number,1980,0.027674141508382363,0.036743926584798005,0.022339243099334754
Deaths,Spain,Both,All ages,Police conflict and executions,Number,1980,3.0709099094144032,4.793679831384816,1.8469251843097099
Deaths,Austria,Both,All ages,Cardiovascular diseases,Number,1980,46142.789037073315,47455.83770536037,43572.813936758044
Deaths,Lithuania,Both,All ages,Liver cancer due to alcohol use,Number,1980,19.086109350480648,24.208354965932596,14.004329722423789
Deaths,Estonia,Both,All ages,Alcohol use disorders,Number,1980,260.8105314582653,277.70163993290305,245.09138852409885
Deaths,Sweden,Both,All ages,Alcohol use disorders,Number,1980,567.5099068717633,589.82374487639,544.3976084030412
Deaths,Czechia,Both,All ages,Liver cancer due to alcohol use,Number,1981,277.6647293734723,354.64003304416315,210.9334594203493
Deaths,Czechia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,6200.423674851245,6713.604439249323,5645.4777559513295
Deaths,Finland,Both,All ages,Alcohol use disorders,Number,1980,257.7216716292142,278.89240849263444,231.77765338807478
Deaths,Finland,Both,All ages,Opioid use disorders,Number,1980,63.48808722787881,73.16921559699071,55.56088707763631
Deaths,Finland,Both,All ages,Self-harm,Number,1980,1298.7555172568989,1353.7505641419268,1244.1481832852517
Deaths,Sweden,Both,All ages,Opioid use disorders,Number,1980,22.204723944914473,25.35808988653961,19.50313603725735
Deaths,Sweden,Both,All ages,Self-harm,Number,1980,2130.4470800884633,2223.10085502976,2051.9544076269854
Deaths,Austria,Both,All ages,Alcohol use disorders,Number,1980,231.35509692589156,241.47296561956472,220.89838037262956
Deaths,Austria,Both,All ages,Opioid use disorders,Number,1980,40.37646825017405,44.314653356835834,36.29141520554961
Deaths,Portugal,Both,All ages,Road injuries,Number,1980,1348.0901266997432,1401.180904237936,1289.4322026042223
Deaths,Portugal,Both,All ages,Motor vehicle road injuries,Number,1980,499.74096401298704,526.5156269740708,470.3223996404826
Deaths,Estonia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,603.6616131033962,657.4160490862308,549.5009971915605
Deaths,Estonia,Both,All ages,Opioid use disorders,Number,1980,41.53449499933985,48.333299014433926,35.82899283988163
Deaths,Estonia,Both,All ages,Diabetes mellitus,Number,1980,63.7567656386879,67.9299489774823,59.495059247782834
Deaths,Mexico,Both,All ages,Cardiovascular diseases,Number,1980,56605.74387212356,57451.825683048955,55026.505774021425
Deaths,Netherlands,Both,All ages,Liver cancer due to alcohol use,Number,1980,92.91722738702497,116.33580534666942,71.57197513523833
Deaths,Netherlands,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,8405.49912013681,8910.47944626317,7916.342189800681
Deaths,Sweden,Both,All ages,Road injuries,Number,1981,970.8492415669718,998.8559898257207,943.2475768371839
Deaths,Denmark,Both,All ages,Cardiovascular diseases,Number,1981,26610.456161693382,27520.35677714273,25004.526099953848
Deaths,Mexico,Both,All ages,Alcohol use disorders,Number,1981,4499.136848641177,4623.797451871467,4368.580837640765
Deaths,Mexico,Both,All ages,Opioid use disorders,Number,1981,52.80151304881375,56.79275113129247,48.5872991966268
Deaths,Mexico,Both,All ages,Liver cancer due to alcohol use,Number,1980,91.58246796311796,106.33336132164024,79.39731768531651
Deaths,Mexico,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,4329.597748899862,4492.7117650759865,4167.303949015075
Deaths,Hungary,Both,All ages,Road injuries,Number,1981,1878.8050623381107,1946.6728149551977,1812.9421764158144
Deaths,Switzerland,Both,All ages,Alcohol use disorders,Number,1981,266.3845090405094,294.054940284577,221.77541250626473
Deaths,Switzerland,Both,All ages,Opioid use disorders,Number,1981,208.36299709623123,241.65734902911618,172.62476088695337
Deaths,Switzerland,Both,All ages,Diabetes mellitus,Number,1981,1533.0585950235536,1639.6405245210747,1411.4376501665454
Deaths,Japan,Both,All ages,Cardiovascular diseases,Number,1981,298327.5356829036,308223.6403798769,277088.8250636217
Deaths,Czechia,Both,All ages,Liver cancer due to alcohol use,Number,1980,281.58836891573895,360.7208881605712,215.04446787706684
Deaths,Czechia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,6337.618065162527,6872.681610634554,5776.182607933827
Deaths,Mexico,Both,All ages,Self-harm,Number,1980,1777.0523165174457,1836.7097900573167,1719.6305597418966
Deaths,Denmark,Both,All ages,Road injuries,Number,1981,797.9390314142366,821.9502565267563,774.6096065254358
Deaths,Denmark,Both,All ages,Alcohol use disorders,Number,1981,375.6146020888908,402.40418214999397,347.8853800509434
Deaths,Lithuania,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,1133.593007931118,1249.2969160143248,1036.012297804868
Deaths,Sweden,Both,All ages,Police conflict and executions,Number,1980,0.09365342182016077,0.13382153077228404,0.06711621856663866
Deaths,Czechia,Both,All ages,Road injuries,Number,1980,1245.6294138767714,1319.9959238254685,1176.4158948115928
Deaths,Czechia,Both,All ages,Motor vehicle road injuries,Number,1980,826.3722069108406,877.6780321296766,781.1713969266818
Deaths,Austria,Both,All ages,Diabetes mellitus,Number,1980,1268.2119564346078,1337.7941290679778,1194.546907759621
Deaths,Czechia,Both,All ages,Alcohol use disorders,Number,1981,267.1171592998203,291.98561968862856,243.76603821077592
Deaths,Czechia,Both,All ages,Opioid use disorders,Number,1981,38.322858454117195,46.77832887720441,31.610127481692793
Deaths,Czechia,Both,All ages,Diabetes mellitus,Number,1981,2248.628463617272,2497.854662861752,2005.0522380222544
Deaths,Czechia,Both,All ages,Self-harm,Number,1981,2340.702447588279,2499.780590227686,2187.3961686429448
Deaths,Luxembourg,Both,All ages,Police conflict and executions,Number,1980,0.0014283621238383585,0.002400374497674341,0.0010294290102731106
Deaths,Mexico,Both,All ages,Diabetes mellitus,Number,1980,19272.717323504825,19771.92743060084,18724.935964366745
Deaths,Switzerland,Both,All ages,Motor vehicle road injuries,Number,1981,464.1063355865263,490.9762512804237,440.31882515018657
Deaths,Czechia,Both,All ages,Police conflict and executions,Number,1980,0.4792525363924619,1.234701587316494,0.1496191386930452
Deaths,Czechia,Both,All ages,Cardiovascular diseases,Number,1981,73687.19663837766,76094.5099401089,70895.77975258112
Deaths,Spain,Both,All ages,Cardiovascular diseases,Number,1980,120103.51305149501,124648.04248937793,111791.7085238133
Deaths,Switzerland,Both,All ages,Motor vehicle road injuries,Number,1980,473.9919499113771,501.16439634862644,450.43914593248655
Deaths,Estonia,Both,All ages,Police conflict and executions,Number,1980,0.008155733686803552,0.02227560979181968,0.0036050402599280924
Deaths,Austria,Both,All ages,Road injuries,Number,1980,1970.840230695006,2018.718070090897,1922.5705951848358
Deaths,Austria,Both,All ages,Motor vehicle road injuries,Number,1980,931.8439000046673,960.5541029178897,901.8275637162344
Deaths,Austria,Both,All ages,Liver cancer due to alcohol use,Number,1980,188.9584007007157,225.39308765465285,155.94474583319425
Deaths,Austria,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,3519.539371917782,3775.3647076360444,3273.836800219843
Deaths,Switzerland,Both,All ages,Liver cancer due to alcohol use,Number,1981,178.7525101125008,224.14290769945404,136.84195921158891
Deaths,Switzerland,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,2903.1357009776243,3103.529833243624,2682.68769700313
Deaths,France,Both,All ages,Motor vehicle road injuries,Number,1980,6758.004527700807,7019.978903443922,6470.796162493402
Deaths,Austria,Both,All ages,Police conflict and executions,Number,1980,0.796238089451997,1.4511743225918932,0.44355295465557215
Deaths,Hungary,Both,All ages,Alcohol use disorders,Number,1981,370.13584926642847,387.51011475719366,351.6600924859547
Deaths,Hungary,Both,All ages,Opioid use disorders,Number,1981,19.241441832261636,23.314635794504184,15.757339263822741
Deaths,Switzerland,Both,All ages,Cardiovascular diseases,Number,1981,26781.97993349233,27798.059882503097,24838.327087694648
Deaths,Mexico,Both,All ages,Road injuries,Number,1980,26433.575997136508,27106.89290614271,25755.195371098762
