country name,country code,year,adjusted savings: education expenditure (current us$),current health expenditure (% of gdp),domestic credit to private sector (% of gdp),gdp (constant 2015 us$),labor force with advanced education (% of total working-age population with advanced education),labor force with intermediate education (% of total working-age population with intermediate education),labor force with basic education (% of total working-age population with basic education),market capitalization of listed domestic companies (% of gdp),military expenditure (% of gdp),out-of-pocket expenditure (% of current health expenditure),research and development expenditure (% of gdp),"stocks traded, total value (% of gdp)"
Sweden,SWE,2009,28459555057.6184,8.77,123.928345994079,428135998219.2907,83.639,78.231,46.496,,1.15980434381161,16.4,3.39527988433838,
Sweden,SWE,2010,31117085078.5678,8.32,122.518840345301,453619110971.1713,83.075,77.533,46.68,,1.18712854137069,16.38,3.1678900718689,
Sweden,SWE,2011,35266238330.0745,10.42,123.994736990347,468113753183.843,82.528,77.98,46.942,,1.10169116434029,14.55,3.18702006340027,
Sweden,SWE,2012,40011489311.4026,10.74,128.102052691282,465359818585.78845,82.748,77.857,46.756,,1.13011028867624,14.81,3.23024988174438,
Sweden,SWE,2013,42402785192.9293,10.9,130.416507201378,470887249502.53467,83.02,77.759,46.423,,1.11252053864955,14.93,3.26042008399963,
Sweden,SWE,2014,41824719235.7562,10.95,129.369278663972,483402482698.498,83.282,77.519,47.227,,1.12644731800047,14.92,3.10184001922607,
Sweden,SWE,2015,35686948941.3059,10.8,126.63344654463,505103781349.7569,83.393,76.97,47.308,,1.06650205259044,14.9,3.21902990341187,
Sweden,SWE,2016,37370010748.3547,10.85,128.521974137894,515562425649.40735,83.54,76.384,47.117,,1.0530163887864,14.49,3.24735999107361,
Sweden,SWE,2017,39235013056.035,10.79,131.281742598096,528801679620.7083,83.581,77.03,48.2,,1.023179204574,14.09,3.36279010772705,
Sweden,SWE,2018,40241823238.3687,10.94,131.873787618266,539113433181.75653,83.571,76.539,49.263,,1.03224609210767,13.96,3.32105994224548,
Sweden,SWE,2019,38905550769.591,10.83,131.085335349063,549821281946.7352,83.944,76.66,49.825,,1.09340922552771,13.71,3.38757991790771,
Sweden,SWE,2020,40077851125.0093,11.33,137.753411803186,537888988025.75726,83.529,76.968,48.792,,1.14608642427625,12.83,3.48959994316101,
Sweden,SWE,2021,46291445351.8589,11.25,135.081229433827,570953156693.6307,77.917,69.248,43.277,,1.19327656149619,13.08,3.41742992401123,
Sweden,SWE,2022,,10.67,133.011842317013,586158778534.5487,78.566,67.973,44.77,,1.30746311852624,,,
Sweden,SWE,2023,,,126.502406958526,585008905028.7357,77.827,68.661,45.718,,,,,
Switzerland,CHE,1960,,,87.7884734668407,212618998359.32208,,,,,2.34145036125234,,,
Switzerland,CHE,1961,,,88.6652176956245,229859575994.39124,,,,,2.46907706945766,,,
Switzerland,CHE,1962,,,89.2011338254893,240869714794.5406,,,,,2.56756756756757,,,
Switzerland,CHE,1963,,,89.098030054666,252622227723.5413,,,,,2.51633668194675,,,
Switzerland,CHE,1964,,,87.0741961847816,265900938176.60004,,,,,2.53585569731632,,,
Switzerland,CHE,1965,,,88.1763437244437,271496969441.22116,,,,,2.4679592507394,,,
Switzerland,CHE,1966,,,87.6291865842292,278179751840.3108,,,,,2.5307933593451097,,,
Switzerland,CHE,1967,,,87.5536183761206,286680708542.12555,,,,,2.38237384506041,,,
Switzerland,CHE,1968,,,89.5841007877957,296966886912.3227,,,,,2.17651757188498,,,
Switzerland,CHE,1969,,,91.07487346495,313694770685.1541,,,,,2.1979237053873097,,,
Switzerland,CHE,1970,,,90.3019749636071,333700361441.9117,,,,,2.10334748800529,,,
Switzerland,CHE,1971,,,86.1083587676922,347300127583.6139,,,,,2.05252682169037,,,
Switzerland,CHE,1972,,,82.7760148420645,358415498059.6625,,,,,1.9681261245823,,,
Switzerland,CHE,1973,,,80.5384098266591,369346839611.9919,,,,,1.86144856220206,,,
Switzerland,CHE,1974,,,69.3863987563832,374720496445.8416,,,,,1.8759744861800096,,,
Switzerland,CHE,1975,,,74.7066661939693,347428948661.4885,,,,25.157393786716785,1.9007527380400304,,,48.35939332281291
Switzerland,CHE,1976,,,80.2821057131544,342552171792.04083,,,,30.521262737373256,2.16258100873485,,,62.999692557872635
Switzerland,CHE,1977,,,84.4256789094909,350888699908.84955,,,,40.82557621741852,2.02208656286439,,,49.225036429533965
Switzerland,CHE,1978,,,89.7447823593199,352324127799.8547,,,,37.20380757206831,1.9673644305258,,,41.950715660545725
Switzerland,CHE,1979,,,91.791320202634,361102326996.13184,,,,37.8964288217788,2.03979942603046,,,60.448241212412746
Switzerland,CHE,1980,,,95.3302962257242,377720174344.8157,,,,34.86593647951195,1.6786065458631798,,,64.59578390882153
Switzerland,CHE,1981,,,96.9110498114069,383768742444.18933,,,,34.16386159053203,1.66280222143271,,,66.73974769145293
Switzerland,CHE,1982,,,112.194693087751,378743607542.5923,,,,33.679125977755646,1.72819451127189,,,
Switzerland,CHE,1983,,,117.032037312945,381164080521.6664,,,,38.45371541612556,1.74880558932822,,,110.58516976978277
Switzerland,CHE,1984,,,118.628789797182,392631235669.9114,,,,36.61528089076706,1.70124830295676,,,119.26977084511924
Switzerland,CHE,1985,,,122.941557058273,407054920540.0081,,,,75.78369246175866,1.8249718683210896,,,193.36396870318515
Switzerland,CHE,1986,,,124.110869814606,414620576468.82623,,,,80.8650662094167,1.66102195140386,,,82.05868676520888
Switzerland,CHE,1987,,,130.673959578262,421194296070.30566,,,,65.10158259536247,1.56186605542128,,,214.20305937091655
Switzerland,CHE,1988,,,136.915086435299,434999343626.19495,,,,65.11160010106131,1.5648052643261,,,180.2786827128295
Switzerland,CHE,1989,,,143.935051413044,453838270018.9127,,,,82.13890311975499,1.5241653668033,,,198.83127076694532
Switzerland,CHE,1990,,,144.307094728382,470515127240.6557,,,,59.31383960103635,1.5721471875723598,,,150.70658253597534
