measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Austria,Both,All ages,Liver cancer due to alcohol use,Number,1997,251.3088858853424,297.16812660532037,208.5015522403975
Deaths,Austria,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,3432.233466211249,3605.9096599591912,3208.3226173740195
Deaths,Italy,Both,All ages,Alcohol use disorders,Number,1997,248.6828910599465,255.5303741301521,240.2806847029835
Deaths,Italy,Both,All ages,Opioid use disorders,Number,1997,982.810447799612,1049.1633605829024,925.8035747654654
Deaths,Italy,Both,All ages,Self-harm,Number,1997,5142.834391529638,5276.245772030612,4983.110438388234
Deaths,Latvia,Both,All ages,Motor vehicle road injuries,Number,1997,257.9959661650334,272.4639715883522,241.98108316106016
Deaths,Luxembourg,Both,All ages,Motor vehicle road injuries,Number,1997,38.14966680446734,40.11390846226407,36.35586187756378
Deaths,Hungary,Both,All ages,Liver cancer due to alcohol use,Number,1995,182.0192465590259,227.6979999404484,139.82783029744292
Deaths,Hungary,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,7928.364879418745,8601.337106421435,7266.662578716818
Deaths,Belgium,Both,All ages,Alcohol use disorders,Number,1997,307.4800950603537,321.358876194728,294.330339394436
Deaths,Belgium,Both,All ages,Opioid use disorders,Number,1997,109.8956390726102,118.35023771296146,102.60130413955922
Deaths,Belgium,Both,All ages,Diabetes mellitus,Number,1997,1915.7494948208084,2058.3401472412493,1697.327820506778
Deaths,Lithuania,Both,All ages,Cardiovascular diseases,Number,1997,21712.4794086917,22428.664786007692,20478.655170084305
Deaths,Lithuania,Both,All ages,Road injuries,Number,1997,794.7480872552462,823.044275852176,765.0514476644626
Deaths,Ireland,Both,All ages,Cardiovascular diseases,Number,1995,13702.072798391635,14162.54292074772,12768.919772582312
Deaths,Slovakia,Both,All ages,Liver cancer due to alcohol use,Number,1995,156.6224320447074,201.39093824103125,117.87480477594156
Deaths,Slovakia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,2350.586932845155,2653.7864035478324,2103.050699673382
Deaths,Germany,Both,All ages,Road injuries,Number,1995,10225.866262449215,10492.098508779283,9962.01883459057
Deaths,Germany,Both,All ages,Motor vehicle road injuries,Number,1995,6383.582137445127,6575.199371904698,6197.729378077972
Deaths,Mexico,Both,All ages,Alcohol use disorders,Number,1995,4525.507427112631,4627.197527607677,4421.502117397415
Deaths,Mexico,Both,All ages,Opioid use disorders,Number,1995,69.18319194150996,73.59051531749785,65.40401114640396
Deaths,Hungary,Both,All ages,Alcohol use disorders,Number,1997,1095.948388739273,1156.3042459532226,1036.1480671911181
Deaths,Hungary,Both,All ages,Opioid use disorders,Number,1997,24.228454830983694,27.92995112875308,20.565050692292058
Deaths,Netherlands,Both,All ages,Liver cancer due to alcohol use,Number,1997,142.4007054897068,170.7628915156614,112.3917649332535
Deaths,Netherlands,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,9597.887380354823,10045.094325111113,9134.144057164423
Deaths,Israel,Both,All ages,Liver cancer due to alcohol use,Number,1995,31.874619250621695,43.23166994392973,22.834742940155174
Deaths,Israel,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,1442.677105171626,1540.2762418968725,1337.0873021244738
Deaths,Israel,Both,All ages,Opioid use disorders,Number,1995,29.899895479721287,33.00835659791529,27.284098644314994
Deaths,Israel,Both,All ages,Diabetes mellitus,Number,1995,1376.6745233877523,1462.3461739128718,1265.0505705676842
Deaths,Israel,Both,All ages,Police conflict and executions,Number,1995,0.0243836768613233,0.03875357057477001,0.016399330175640606
Deaths,Belgium,Both,All ages,Police conflict and executions,Number,1997,0.04226643721505734,0.059975574292053885,0.03286363701816642
Deaths,United States of America,Both,All ages,Cardiovascular diseases,Number,1997,902329.7542141173,949695.5944724659,801176.6793600231
Deaths,Hungary,Both,All ages,Diabetes mellitus,Number,1997,1830.5696370735625,1940.0494595073942,1725.856302053913
Deaths,Hungary,Both,All ages,Police conflict and executions,Number,1997,0.2758567204530785,0.3901554191817387,0.1922126222304005
Deaths,Republic of Korea,Both,All ages,Liver cancer due to alcohol use,Number,1995,1376.995084466134,1939.5435582211094,922.6894281705702
Deaths,Republic of Korea,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,10293.967486923875,11299.94808022836,9332.350600358415
Deaths,Mexico,Both,All ages,Diabetes mellitus,Number,1995,35366.3112458485,36229.82621366872,34220.05693970466
Deaths,Slovenia,Both,All ages,Alcohol use disorders,Number,1995,157.27644153706407,166.91055650420486,148.0134915720124
Deaths,Slovenia,Both,All ages,Opioid use disorders,Number,1995,10.591872437006375,12.373695508508751,9.026751800833962
Deaths,Slovenia,Both,All ages,Diabetes mellitus,Number,1995,446.51269005483414,481.79623716330997,408.1750589945607
Deaths,Mexico,Both,All ages,Police conflict and executions,Number,1995,46.196280829392016,59.49542642589051,35.14460501495522
Deaths,Denmark,Both,All ages,Road injuries,Number,1997,592.5374166810084,611.7576063224537,571.1637589294209
Deaths,Slovenia,Both,All ages,Police conflict and executions,Number,1995,0.0019724455745406106,0.002621499777736494,0.001546346599941453
Deaths,Slovakia,Both,All ages,Liver cancer due to alcohol use,Number,1997,155.10262320356668,202.5084643782089,114.56073092798728
Deaths,Slovakia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,2340.396386302625,2668.2686831753817,2085.4886889190616
Deaths,Denmark,Both,All ages,Motor vehicle road injuries,Number,1997,342.2339436843882,354.06680685175866,329.4721713198972
Deaths,Greece,Both,All ages,Liver cancer due to alcohol use,Number,1995,125.09348316902592,159.21644750272702,92.7966928535203
Deaths,Greece,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,6809.350818098103,7218.142936714235,6372.158612719789
Deaths,Slovenia,Both,All ages,Alcohol use disorders,Number,1997,188.4207551666861,199.6157055875486,177.98401423821684
Deaths,Slovenia,Both,All ages,Opioid use disorders,Number,1997,10.948121651708815,12.820342025987859,9.353651758911896
Deaths,Slovenia,Both,All ages,Diabetes mellitus,Number,1997,500.02402545879664,539.6021858337776,458.5157258537678
Deaths,Italy,Both,All ages,Alcohol use disorders,Number,1995,332.0051319383431,340.6793857095066,321.37630334330817
Deaths,Italy,Both,All ages,Opioid use disorders,Number,1995,1048.0637803350844,1122.1873781955128,982.7617000956706
Deaths,Italy,Both,All ages,Self-harm,Number,1995,5027.430626980392,5154.465868496973,4866.991323862127
Deaths,Poland,Both,All ages,Road injuries,Number,1995,8415.057261728758,8597.000957712295,8234.451794802362
Deaths,Poland,Both,All ages,Motor vehicle road injuries,Number,1995,2694.9573209536493,2752.133955148845,2635.027898443624
Deaths,Australia,Both,All ages,Road injuries,Number,1995,2193.353079849055,2261.2648788456972,2119.506960473076
Deaths,Australia,Both,All ages,Motor vehicle road injuries,Number,1995,1449.7501816042359,1494.1530165850122,1403.2709978393668
Deaths,Finland,Both,All ages,Cardiovascular diseases,Number,1997,22591.21330621035,23638.060252058072,20445.89343728883
Deaths,Slovenia,Both,All ages,Police conflict and executions,Number,1997,0.002758837689098945,0.003713201664860456,0.0021834359795833464
Deaths,Iceland,Both,All ages,Alcohol use disorders,Number,1995,5.7181627276453995,6.114691850823048,5.339480221338611
Deaths,Iceland,Both,All ages,Opioid use disorders,Number,1995,4.8034686602360415,5.309488441523651,4.2971761306111835
Deaths,Iceland,Both,All ages,Diabetes mellitus,Number,1995,18.993202441005913,20.492289462930113,16.999251589196007
Deaths,Norway,Both,All ages,Alcohol use disorders,Number,1997,260.37256333390627,268.6344002226787,252.0053542615018
Deaths,Norway,Both,All ages,Opioid use disorders,Number,1997,213.4671209368484,224.89319316556185,202.42389703071913
Deaths,Norway,Both,All ages,Diabetes mellitus,Number,1997,672.7146493855428,712.6648933998789,604.5088259585544
Deaths,Iceland,Both,All ages,Police conflict and executions,Number,1995,0.0012238385880392496,0.0016252523206357584,0.0009311986406530323
Deaths,Luxembourg,Both,All ages,Motor vehicle road injuries,Number,1995,41.68988808662165,43.8108207419711,39.56260849208487
Deaths,Norway,Both,All ages,Police conflict and executions,Number,1997,0.004840701966136625,0.006199307072688259,0.004079629478470981
Deaths,Poland,Both,All ages,Cardiovascular diseases,Number,1997,191298.8697285292,196279.45097200133,181526.70076381363
Deaths,France,Both,All ages,Liver cancer due to alcohol use,Number,1997,2093.1786671952195,2643.2216155232886,1545.8122229682413
Deaths,France,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,27818.59779804373,29495.269491568095,26009.169532728738
Deaths,France,Both,All ages,Diabetes mellitus,Number,1997,9013.54231467637,9728.399639192172,8178.647996470615
Deaths,Japan,Both,All ages,Liver cancer due to alcohol use,Number,1995,3827.79048179045,4480.545929141283,3341.3688369015454
Deaths,Japan,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,51474.08673769548,53335.07953756578,48303.023312109195
Deaths,Estonia,Both,All ages,Cardiovascular diseases,Number,1995,11663.78007788692,12143.53074988527,11071.581019047935
Deaths,Portugal,Both,All ages,Self-harm,Number,1997,1442.5433616279536,1501.8526527528265,1392.3641036934982
Deaths,Netherlands,Both,All ages,Liver cancer due to alcohol use,Number,1995,137.0418405763283,165.20146021687174,108.57789931526993
